config,PSNR,SSIM,hard_pixel_err
1_baseline,26.11168607076009,0.6073259226977825,0.13376475386321546
2_global_gen_charbonnier,26.47677993774414,0.6255288484195868,0.12310194931924343
3_ldmh_loss_only,26.104946772257488,0.609094807257255,0.13385302033275365
4_ldmh_plus_film,26.36824671427409,0.6204468781749407,0.12640344873070716
