model,batch_size,FP32 latency (ms/batch),FP32 throughput (img/s),FP16 latency (ms/batch),FP16 throughput (img/s),FP16 speedup
Baseline,16,136.93170547485352,116.84656920407875,79.66457605361938,200.84209058278262,1.718853124664715
Full (LDMH+FiLM),16,148.03436994552612,108.08300806013969,85.9528660774231,186.14853384397682,1.7222738077422846
