epoch,train_loss,val_loss,val_psnr,val_ssim,val_lpips,lr,time_sec
1,0.06563912649742432,0.062457184214144944,25.903234243392944,0.6424105435609817,0.45114000886678696,0.00019998766324816607,137.98340845108032
2,0.060172592248353696,0.059842006862163545,26.28705701828003,0.673830584064126,0.415023036301136,0.00019995065603657316,145.7570550441742
3,0.05896925766848855,0.05895797004923224,26.432347536087036,0.6786094158887863,0.3938808746635914,0.00019988898749619702,104.66004371643066
4,0.057747832592576744,0.05734008178114891,26.705076742172242,0.6910391106270254,0.373463986068964,0.00019980267284282717,97.72313165664673
5,0.05628430291803347,0.05581383779644966,26.993543004989625,0.7001873010303825,0.3487247735261917,0.0001996917333733128,97.87031531333923
6,0.05503443324317535,0.055085957515984774,27.109484434127808,0.7116314122918993,0.3274373259395361,0.000199556196460308,97.58422923088074
7,0.054375528616623744,0.05442381277680397,27.249000597000123,0.718309790128842,0.32682681642472744,0.000199396095545518,97.98270535469055
8,0.05394747123743097,0.054024034086614846,27.337253475189208,0.7198868491686881,0.3291686851531267,0.0001992114701314478,98.04586505889893
9,0.05362816970381472,0.05367515804246068,27.410954427719116,0.7199070389382541,0.3334155663847923,0.00019900236577165574,97.92602849006653
10,0.053385192569759155,0.053465422336012126,27.45481905937195,0.7223426414187998,0.32776959948241713,0.00019876883405951377,97.44668006896973
11,0.05312802497711447,0.05341836242005229,27.464172840118408,0.7243624785449356,0.32110555954277514,0.00019851093261547738,97.36735486984253
12,0.05294280112203625,0.053208960639312866,27.51110706329346,0.7217821868136525,0.34395614415407183,0.00019822872507286888,98.27487134933472
13,0.052746959796382324,0.05299636609852314,27.544968175888062,0.7262105533387512,0.3314437873661518,0.00019792228106217658,98.13969564437866
14,0.05260088061913848,0.052876161551102994,27.571667098999022,0.7308371498249471,0.30541554279625416,0.00019759167619387476,98.10559821128845
15,0.05244463581798805,0.05276494161225855,27.589535665512084,0.7305110464803874,0.3236540865153074,0.00019723699203976768,98.10549640655518
16,0.052318037466870415,0.052663006633520124,27.61550693511963,0.7302437264937908,0.3150644700974226,0.00019685831611286313,98.190593957901
17,0.05220615979697969,0.052344339713454244,27.673884105682372,0.7319735194556415,0.31938794776797297,0.00019645574184577985,98.62519001960754
18,0.05210656468859977,0.052339429315179584,27.66145315170288,0.7327797708101571,0.3160957366228104,0.00019602936856769437,98.69711780548096
19,0.05202553376762403,0.05239978567697108,27.63544249534607,0.7293438027147203,0.3099391829222441,0.00019557930147983305,98.03727531433105
20,0.05189825464040041,0.052290181256830694,27.680378198623657,0.7280396692454815,0.3290023099631071,0.0001951056516295154,97.52996063232422
21,0.05181379346176982,0.05209085741080344,27.715679264068605,0.7320544007234275,0.31232419796288013,0.00019460853588275457,97.7473042011261
22,0.051676723899112806,0.05206257374957204,27.729792070388793,0.7353140104096383,0.3291555803269148,0.0001940880768954226,97.77449464797974
23,0.05171880508876509,0.05198644204065204,27.740801048278808,0.7365804355125875,0.3122893821448088,0.0001935444030829868,97.82285952568054
24,0.051548802459405525,0.05196595643647015,27.730050706863402,0.7344882336910814,0.2967221699655056,0.0001929776485888252,104.69078469276428
25,0.05151969336180223,0.05194048928096891,27.741134262084962,0.7358845805283636,0.2870084270834923,0.00019238795325112872,119.24851894378662
26,0.05141990901902318,0.05174742974340916,27.781757402420045,0.7353809525258839,0.3133745681494474,0.00019177546256839815,114.42103219032288
27,0.051363331907325324,0.05162978661246598,27.80590100288391,0.7396071571391076,0.3088828057050705,0.00019114032766354456,113.42662501335144
28,0.05130650036347409,0.05160299758426845,27.802396869659425,0.7386804156005382,0.2905014730989933,0.00019048270524660199,106.68524861335754
29,0.0513203715491626,0.051705558132380244,27.790446710586547,0.7351484576705843,0.30669586062431337,0.0001898027575760616,109.26185727119446
30,0.05119783655843801,0.05165110845118761,27.795778226852416,0.7360933412797749,0.3086750637739897,0.00018910065241883683,106.35678672790527
31,0.05119263816417919,0.051511415746062994,27.832756328582764,0.7384342393372207,0.3263562347739935,0.00018837656300886942,101.36308145523071
32,0.05111860935058859,0.051511825807392594,27.8287766456604,0.7420890594832599,0.2866998974233866,0.00018763066800438642,101.42694687843323
33,0.05106259111521973,0.05145701915025711,27.83624939918518,0.7376246753614396,0.3044135171920061,0.00018686315144381919,99.52332019805908
34,0.05100607588473294,0.051477035693824294,27.837434101104737,0.7351059566251934,0.318325749784708,0.00018607420270039441,100.38926601409912
35,0.05098967938683927,0.05165156666189432,27.798993873596192,0.7421110732480883,0.29306309334933756,0.00018526401643540927,98.21623802185059
36,0.050953984519259796,0.0513463435228914,27.85127983093262,0.7384005267638714,0.3082038637250662,0.00018443279255020157,96.80856251716614
37,0.05092891842747728,0.05124956858344376,27.875537490844728,0.7416653302498162,0.29685646668076515,0.0001835807361368271,96.49461960792542
38,0.050890887316523324,0.05128029002808034,27.87373480796814,0.7433564770966768,0.2934610977768898,0.00018270805742745622,97.12083601951599
39,0.05087165344609983,0.05139633240178228,27.838938760757447,0.7432052907068283,0.27626682035624983,0.0001818149717425024,97.28282499313354
