epoch,train_loss,val_loss,val_psnr,val_ssim,val_lpips,lr,time_sec
1,0.37297039330005644,0.33861221596598623,26.162286615371706,0.6639486155938357,0.40205827355384827,0.00019998766324816607,93.70942854881287
2,0.30969668320483634,0.2810982510447502,26.825853776931762,0.6926533554214984,0.35784264877438543,0.00019995065603657316,91.05870509147644
3,0.2524082543535365,0.224749393761158,27.167177057266237,0.7118506274651736,0.33636470437049865,0.00019988898749619702,93.03257441520691
4,0.1964331678632233,0.16871795617043972,27.29155421257019,0.7158954262267798,0.33274629935622213,0.00019980267284282717,91.04428482055664
5,0.14035341499580278,0.11285897772759199,27.36408739089966,0.7146783827804029,0.3423503406345844,0.0001996917333733128,91.04262971878052
6,0.08410652466118336,0.05628605391830206,27.442925930023193,0.7206655560992659,0.3342164527624846,0.000199556196460308,91.84972667694092
7,0.027556541168855295,-0.00037807757034897805,27.520516633987427,0.7237546687480062,0.3253937590867281,0.000199396095545518,78.07443690299988
8,-0.028816562653001813,-0.056997424364089964,27.5087131023407,0.7257323391269892,0.32725729532539843,0.0001992114701314478,67.80750870704651
9,-0.0857077901562055,-0.1137619337067008,27.59145083427429,0.726194114703685,0.33155208826065063,0.00019900236577165574,67.78121495246887
10,-0.14250553974674807,-0.17072320375591515,27.620974636077882,0.7283052328508347,0.32198322787880895,0.00019876883405951377,70.50193810462952
11,-0.19923688914212917,-0.22735682427883147,27.608308172225954,0.7309378108475357,0.3136808581650257,0.00019851093261547738,69.39180326461792
12,-0.2557302156256305,-0.28356214575469496,27.602381038665772,0.729606835450977,0.31949310265481473,0.00019822872507286888,583.7284700870514
13,-0.3119650360196829,-0.3401269428431988,27.68804488182068,0.7320373534224928,0.3055539060384035,0.00019792228106217658,70.3232479095459
14,-0.3681487078468005,-0.39545057639479636,27.708719491958618,0.7364621432498097,0.3007499899715185,0.00019759167619387476,70.28154683113098
15,-0.42392296219865483,-0.4516439147293568,27.731326389312745,0.7363793796859681,0.2987108461558819,0.00019723699203976768,70.43514037132263
16,-0.47994975571831067,-0.5076568007469178,27.743448781967164,0.7322724484838545,0.3180150888860226,0.00019685831611286313,70.36358118057251
17,-0.5361265773574512,-0.5642517119646072,27.765022468566894,0.7354281167499721,0.31108441613614557,0.00019645574184577985,70.21883821487427
18,-0.5931777051753468,-0.6213075004518032,27.78073921203613,0.7385105900466442,0.30021273866295817,0.00019602936856769437,70.30494594573975
19,-0.6508208355969853,-0.6780867144465447,27.738994550704955,0.7368669625837356,0.2811609074473381,0.00019557930147983305,70.33967876434326
20,-0.7076900273561477,-0.7350880891084671,27.799180221557616,0.7360912939533591,0.2959066454321146,0.0001951056516295154,70.27776074409485
21,-0.7645314660337236,-0.7903712898492813,27.739719724655153,0.7365093003958464,0.3111870549619198,0.00019460853588275457,70.31574821472168
22,-0.8194651183154847,-0.8450690701603889,27.81488256454468,0.7351886908523738,0.3127877082675695,0.0001940880768954226,70.25732040405273
23,-0.8734199363324378,-0.8979388624429703,27.83742299079895,0.7376214755233377,0.2974025193601847,0.0001935444030829868,70.35726499557495
24,-0.9251121274299092,-0.9489376991987228,27.828859090805054,0.7343033774755895,0.3169758081436157,0.0001929776485888252,70.54674100875854
25,-0.9757185652852058,-0.9973807260394096,27.8240695476532,0.7371040680445731,0.2916719652712345,0.00019238795325112872,70.50589227676392
26,-1.0235429124699698,-1.0433685421943664,27.853848505020142,0.7379661943297833,0.2936432771384716,0.00019177546256839815,70.45321488380432
27,-1.0690732556912634,-1.086575137078762,27.875214099884033,0.7392208223231137,0.3089993726462126,0.00019114032766354456,70.20619297027588
28,-1.1108814948134953,-1.126700620353222,27.845989656448364,0.7389874248299748,0.30163469202816484,0.00019048270524660199,70.17208003997803
29,-1.1498790628380247,-1.1629807874560356,27.879630279541015,0.7380786014255136,0.308986809104681,0.0001898027575760616,70.18351435661316
30,-1.1860103136963314,-1.1961601480841637,27.90737705230713,0.7422585965599865,0.2964971218258142,0.00018910065241883683,82.41557216644287
31,-1.218094690475199,-1.2271318793296815,27.84277653694153,0.7344709583558142,0.3028335992246866,0.00018837656300886942,71.42233967781067
32,-1.2472880923085743,-1.2551102980971336,27.911524724960326,0.7431179058738053,0.2947209559381008,0.00018763066800438642,69.48898959159851
33,-1.2740445560879177,-1.2791307881474494,27.91214265823364,0.7426105849444866,0.2759643603116274,0.00018686315144381919,69.60497283935547
34,-1.298024128874143,-1.3023517578840256,27.927499103546143,0.7427718102000653,0.28370169177651405,0.00018607420270039441,69.45793461799622
35,-1.3201938066217633,-1.3221610501408576,27.93900098800659,0.7417532491497696,0.29746281132102015,0.00018526401643540927,69.46337127685547
36,-1.338825598359108,-1.3396729737520219,27.94345712661743,0.744538116408512,0.26847430020570756,0.00018443279255020157,69.49883961677551
37,-1.35687475072013,-1.355667245388031,27.939787101745605,0.743051368324086,0.30108364336192606,0.0001835807361368271,69.5018982887268
38,-1.3715079251262876,-1.369770610332489,27.9555757522583,0.7437335398513824,0.2982271950691938,0.00018270805742745622,69.58889102935791
39,-1.385716793934504,-1.3821152985095977,27.959312438964844,0.7399041779804975,0.30941567942500114,0.0001818149717425024,69.58258605003357
40,-1.3969723463058472,-1.3926945269107818,27.950964879989623,0.7456956782843918,0.2739696234464645,0.0001809016994374948,69.61449980735779
41,-1.408047376241949,-1.4022985696792603,27.973036146163942,0.744148736167699,0.2931453876197338,0.00017996846584870913,69.45548343658447
42,-1.417041748099857,-1.409828320145607,27.965613269805907,0.7460820339620113,0.26115661263465884,0.0001790155012375691,70.35255074501038
43,-1.4253619129459063,-1.4175778865814208,27.960305738449097,0.7454748971387744,0.2876890689134598,0.00017804304073383302,70.51268649101257
