epoch,train_loss,val_loss,val_psnr,val_ssim,val_lpips,lr,time_sec
1,0.3735491832097371,0.3391453638672829,26.08784966468811,0.6556841138983145,0.4288337953388691,0.00019998766324816607,71.69198536872864
2,0.31039838252796065,0.28286682441830635,26.330253696441652,0.675099286949262,0.3981867030262947,0.00019995065603657316,65.80242848396301
3,0.25453115126325027,0.22694228440523148,26.529007959365845,0.6843230133876205,0.38355219811201097,0.00019988898749619702,65.82314610481262
4,0.19830641771356264,0.17010792940855027,26.857743310928345,0.6950732774566859,0.3589309822767973,0.00019980267284282717,66.04568219184875
5,0.14143787355472645,0.11352536100894213,27.101594018936158,0.707259011734277,0.3397434074431658,0.0001996917333733128,66.19942665100098
6,0.08479553836708267,0.056857853289693595,27.208583784103393,0.7110234357416629,0.3454806484282017,0.000199556196460308,66.26673340797424
7,0.02811087309900257,0.00024231765419244767,27.29091215133667,0.7114326554350555,0.3444856509566307,0.000199396095545518,66.22426223754883
8,-0.028575223953359655,-0.056811985187232496,27.37736005783081,0.7197745290119201,0.3376396980136633,0.0001992114701314478,66.42549347877502
9,-0.08539075553417205,-0.11338511649519205,27.425748777389526,0.7202643636614084,0.3384331252425909,0.00019900236577165574,66.07705736160278
10,-0.1423210945394304,-0.1705302119255066,27.474481630325318,0.7212040762417018,0.3377126544713974,0.00019876883405951377,66.17294645309448
11,-0.1990394305023882,-0.22722832225263118,27.484596490859985,0.7260310757439583,0.31899183951318266,0.00019851093261547738,66.15223813056946
12,-0.25556411060194173,-0.28352903872728347,27.51191039085388,0.7266231205314397,0.3161746297031641,0.00019822872507286888,66.27284145355225
13,-0.31175828389823435,-0.33994459435343743,27.5740873336792,0.7271401893347502,0.31936195455491545,0.00019792228106217658,66.2738528251648
14,-0.36797655059231654,-0.39515390768647196,27.549116086959838,0.7261285940185189,0.32825986556708814,0.00019759167619387476,66.1942629814148
15,-0.42379988440208965,-0.45160230323672296,27.628631067276,0.7308337702415884,0.3079393159598112,0.00019723699203976768,66.23692870140076
16,-0.47999159470200536,-0.5076510317623615,27.638470125198364,0.7298125846777112,0.31048025749623775,0.00019685831611286313,66.38493132591248
17,-0.5361559718019433,-0.5642681263387204,27.683834505081176,0.7315384370740503,0.31342876218259336,0.00019645574184577985,66.263601064682
18,-0.5930509495238463,-0.6211897522211075,27.69347925186157,0.7341926049441099,0.30108448266983034,0.00019602936856769437,66.1628897190094
19,-0.6507417254977756,-0.6778778478503227,27.64033422470093,0.7331485952250659,0.28283128663897517,0.00019557930147983305,66.2534568309784
20,-0.7075831443899208,-0.7348935589194298,27.7064959526062,0.7297458109911531,0.3139054972678423,0.0001951056516295154,66.23410677909851
21,-0.764459216925833,-0.7905060261487961,27.75521821975708,0.7369807144626975,0.3054022256284952,0.00019460853588275457,66.16481971740723
22,-0.8193864168392287,-0.8449742779135704,27.751565837860106,0.7341287325602025,0.30793066024780275,0.0001940880768954226,66.27633857727051
23,-0.8733754653069709,-0.8978346794843673,27.75710825920105,0.7327166000381112,0.3166135746985674,0.0001935444030829868,66.04966759681702
24,-0.9251290568047099,-0.9490172132849694,27.786712980270387,0.7344720191322267,0.3160695854574442,0.0001929776485888252,66.29744553565979
25,-0.9758166679077678,-0.9975803896784783,27.797223138809205,0.7369039940182119,0.3000639136880636,0.00019238795325112872,66.34450507164001
26,-1.0238565885358386,-1.043604315817356,27.820309734344484,0.7377973845228553,0.30246434211730955,0.00019177546256839815,66.2883632183075
27,-1.0691832737790214,-1.0864149272441863,27.82315950393677,0.7388230730313807,0.2998200003057718,0.00019114032766354456,66.46878218650818
28,-1.1110411312845019,-1.1269411072134972,27.83413348197937,0.7393654586747289,0.29906097538769244,0.00019048270524660199,66.38964009284973
29,-1.1500885867410235,-1.1630045533180238,27.836935329437257,0.737277504755184,0.3022703383117914,0.0001898027575760616,66.37388896942139
30,-1.1861390320791139,-1.196273685991764,27.844660472869872,0.7420531410723925,0.29284597299993037,0.00018910065241883683,66.30359077453613
31,-1.218202833003468,-1.2273417532444,27.84690179824829,0.7364905640017241,0.31452307626605036,0.00018837656300886942,66.19696187973022
32,-1.2473118157850371,-1.2551399648189545,27.849655437469483,0.7422433255705982,0.2895158797502518,0.00018763066800438642,66.33519506454468
33,-1.2741129954655965,-1.2792921662330627,27.8796028137207,0.7411700271070003,0.29099648892879487,0.00018686315144381919,66.23644948005676
34,-1.2980205529265934,-1.3023516193032265,27.87255792617798,0.7406359184067697,0.2908033512532711,0.00018607420270039441,66.15641450881958
35,-1.3202685548199549,-1.3222895413637161,27.89359016418457,0.7409620604012161,0.2957618493586779,0.00018526401643540927,66.33115911483765
